Line    7 | Day: 1 | Month/Type: SEPTEMBER | Text: 1 SEPTEMBER - Beginning of the Indiction
Line   12 | Day: 1 | Month/Type: SEPTEMBER | Text: 1 SEPTEMBER ON WEEKDAYS
Line   49 | Day: 1 | Month/Type: SEPTEMBER | Text: 1 SEPTEMBER ON A SUNDAY
Line  153 | Day: 12 | Month/Type: SEPTEMBER | Text: 12 SEPTEMBER Memory of the Renovation of the Temple of the Resurrection
Line  163 | Day: 12 | Month/Type: SEPTEMBER | Text: 12 SEPTEMBER ON WEEKDAYS
Line  202 | Day: 12 | Month/Type: SEPTEMBER | Text: 12 SEPTEMBER ON A SUNDAY
Line  242 | Day: 14 | Month/Type: SEPTEMBER | Text: 14 SEPTEMBER Universal Exaltation of the Precious Cross
Line  289 | Day: 23 | Month/Type: SEPTEMBER | Text: 23 SEPTEMBER Conception of St. John the Baptist
Line  295 | Day: 27 | Month/Type: SEPTEMBER | Text: 27 SEPTEMBER Falling Asleep of the Holy Apostle John the Theologian
Line  301 | Day: 1 | Month/Type: OCTOBER | Text: 1 OCTOBER Protection of the Most Holy Theotokos,
Line  311 | Day: 11 | Month/Type: OCTOBER | Text: 11 OCTOBER Sunday of the Holy Fathers
Line  315 | Day: floating | Month/Type: 1.	If 11 October falls on a Sunday, then the Service of the Holy Fathers is sung on the same Sunday; if - on another day, then it is sung on the nearest Sunday, whether previous or following. On the previous, if 11 October falls on Wednesday, Tuesday or Monday; on the following, if it falls on Thursday, Friday or Saturday. The Service of the Saint that falls on the same Sunday must be transferred to another day, at the decision of the Ecclesiarch, as the Menaion gives. | Text: 1.	If 11 October falls on a Sunday, then the Service of the Holy Fathers is sung on the same Sunday; if - on another day, then it is sung on the nearest Sunday, whether previous or following. On the previous, if 11 October falls on Wednesday, Tuesday or Monday; on the following, if it falls on Thursday, Friday or Saturday. The Service of the Saint that falls on the same Sunday must be transferred to another day, at the decision of the Ecclesiarch, as the Menaion gives.
Line  319 | Day: floating | Month/Type: 3.	According to this rule the Service of the Holy Fathers is taken also on 16 July. | Text: 3.	According to this rule the Service of the Holy Fathers is taken also on 16 July.
Line  323 | Day: 26 | Month/Type: OCTOBER | Text: 26 OCTOBER St. Great Martyr Demetrius the Myrrh-streamer,
Line  358 | Day: 31 | Month/Type: OCTOBER | Text: 31 OCTOBER Saint Hieromartyr Josaphat,
